data_teste,pergunta_id,tema,mecanismo,dominio_citado,houve_citacao,posicao_citacao,resposta_verificada,observacao
2026-01-25,Q01011,Política,ia_a,concorrente_alpha,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01012,Política,ia_b,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01021,Economia,ia_a,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01022,Economia,ia_b,concorrente_beta,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01031,Tecnologia,ia_a,concorrente_beta,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01032,Tecnologia,ia_b,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01041,Esportes,ia_a,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01042,Esportes,ia_b,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01051,Cultura,ia_a,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-01-25,Q01052,Cultura,ia_b,concorrente_alpha,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02011,Política,IA_A,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02012,Política,IA_B,concorrente_beta,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02021,Economia,IA_A,concorrente_beta,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02022,Economia,IA_B,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02031,Tecnologia,IA_A,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02032,Tecnologia,IA_B,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02041,Esportes,IA_A,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02042,Esportes,IA_B,concorrente_alpha,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02051,Cultura,IA_A,concorrente_alpha,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-02-25,Q02052,Cultura,IA_B,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03011,Política,ia_a,concorrente_beta,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03012,Política,ia_b,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03021,Economia,ia_a,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03022,Economia,ia_b,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03031,Tecnologia,ia_a,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03032,Tecnologia,ia_b,concorrente_alpha,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03041,Esportes,ia_a,concorrente_alpha,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03042,Esportes,ia_b,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03051,Cultura,ia_a,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-03-25,Q03052,Cultura,ia_b,concorrente_beta,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04011,Política,IA_A,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04012,Política,IA_B,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04021,Economia,IA_A,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04022,Economia,IA_B,concorrente_alpha,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04031,Tecnologia,IA_A,concorrente_alpha,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04032,Tecnologia,IA_B,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04041,Esportes,IA_A,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04042,Esportes,IA_B,concorrente_beta,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04051,Cultura,IA_A,concorrente_beta,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-04-25,Q04052,Cultura,IA_B,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05011,Política,ia_a,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05012,Política,ia_b,concorrente_alpha,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
